Filename,IoU
datasets/test/18mercedesBenzG33.jpg,0.5466870053
datasets/test/14hyundaiVeloster18.jpg,0.4665041536
datasets/test/11hondaInsight28.jpg,0.885712067
datasets/test/15lexusES16.jpg,0.4808170461
datasets/test/16lexusUX3.jpg,0.8567193676
datasets/test/08chevySilverado2.jpg,0.8014241221
datasets/test/09fordFusionHybridTitanium21.jpg,0.668969414
datasets/test/14hyundaiVeloster38.jpg,0.5431535064
datasets/test/01acuraNSX11.jpg,0
datasets/test/04audiA8-23.jpg,0.2512181567
datasets/test/12hondaPassport40.jpg,0.7916525408
datasets/test/24subaruForester7.jpg,0.8004252199
datasets/test/14hyundaiVeloster20.jpg,0.5460877516
datasets/test/10fordTaurus40.jpg,0.6410800162
datasets/test/08chevySilverado21.jpg,0.454769184
datasets/test/27volkswagenArteon19.jpg,0.02472061747
datasets/test/08chevySilverado11.jpg,0.7669976953
datasets/test/23subaruAscent15.jpg,0.02777777778
datasets/test/14hyundaiVeloster34.jpg,0.4543994063
datasets/test/08chevySilverado5.jpg,0.6624081593
datasets/test/23subaruAscent9.jpg,0.7723751442
datasets/test/04audiA8-22.jpg,0.7808810831
datasets/test/09fordFusionHybridTitanium17.jpg,0.4335280935
datasets/test/18mercedesBenzG3.jpg,0.5783922774
datasets/test/06bmwX5-36.jpg,0.5749355907
datasets/test/02acuraRDX3.jpg,0.5594399123
datasets/test/20nissanLeafPlus30.jpg,0.01335271986
datasets/test/11hondaInsight11.jpg,0.546766645
datasets/test/01acuraNSX26.jpg,0.3723940869
datasets/test/29volvoS60-3.jpg,0.6666572852
datasets/test/16lexusUX28.jpg,0.3955138578
datasets/test/19nissanAltima6.jpg,0.639648981
datasets/test/07chevyBlazer23.jpg,0.5940201784
datasets/test/03audiA6-1.jpg,0.6788111826
datasets/test/02acuraRDX26.jpg,0
datasets/test/24subaruForester22.jpg,0.8170206777
datasets/test/11hondaInsight20.jpg,0.3885792316
datasets/test/20nissanLeafPlus15.jpg,0.6978102867
datasets/test/05bmwX4-6.jpg,0.5573505654
